"","date","value"
"399",2008-11-17,0
"400",2008-11-18,0
"401",2008-11-19,0
"402",2008-11-20,0
"403",2008-11-21,0
"404",2008-11-22,0
"405",2008-11-23,0
"406",2008-11-24,1.7
"407",2008-11-25,17
"408",2008-11-26,0
"409",2008-11-27,17.2
"410",2008-11-28,11.7
"411",2008-11-29,30.1
"412",2008-11-30,0
"413",2008-12-01,0.3
"414",2008-12-02,0
"415",2008-12-03,0
"416",2008-12-04,0
"417",2008-12-05,0
"418",2008-12-06,0.4
"419",2008-12-07,0
"420",2008-12-08,0
"421",2008-12-09,2
"422",2008-12-10,0
"423",2008-12-11,25.6
"424",2008-12-12,20
"425",2008-12-13,0
"426",2008-12-14,0
"427",2008-12-15,0
"428",2008-12-16,2.1
"429",2008-12-17,0.2
"430",2008-12-18,3.7
"431",2008-12-19,0
"432",2008-12-20,0
"433",2008-12-21,0
"434",2008-12-22,0
"435",2008-12-23,56.3
"436",2008-12-24,0
"437",2008-12-25,0
"438",2008-12-26,0
"439",2008-12-27,1.3
"440",2008-12-28,0
"441",2008-12-29,0.7
"442",2008-12-30,0
"443",2008-12-31,7.1
"444",2009-01-01,2.5
"445",2009-01-02,0
"446",2009-01-03,0
"447",2009-01-04,0
"448",2009-01-05,0
"449",2009-01-06,3.3
"450",2009-01-07,3
"451",2009-01-08,0
"452",2009-01-09,0
"453",2009-01-10,0
"454",2009-01-11,2
"455",2009-01-12,16.6
"456",2009-01-13,0
"457",2009-01-14,7.1
"458",2009-01-15,0.8
"459",2009-01-16,0
"460",2009-01-17,18.8
"461",2009-01-18,0
"462",2009-01-19,0
"463",2009-01-20,0
"464",2009-01-21,0
"465",2009-01-22,0
"466",2009-01-23,0
"467",2009-01-24,0
"468",2009-01-25,11.1
"469",2009-01-26,0
"470",2009-01-27,19.8
"471",2009-01-28,0
"472",2009-01-29,0
"473",2009-01-30,0.9
"474",2009-01-31,0.7
"475",2009-02-01,0
"476",2009-02-02,0
"477",2009-02-03,9.4
"478",2009-02-04,0
"479",2009-02-05,0
"480",2009-02-06,0
"481",2009-02-07,0
"482",2009-02-08,0
"483",2009-02-09,0
"484",2009-02-10,13.8
"485",2009-02-11,0
"486",2009-02-12,0
"487",2009-02-13,0
"488",2009-02-14,0
"489",2009-02-15,0
"490",2009-02-16,0
"491",2009-02-17,0
"492",2009-02-18,0
